PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_encoded,Embarked_C,Embarked_Q,Embarked_S,Fare_normalized
110,1,3,"Moran, Miss. Bertha",female,28.0,1,0,371110,24.15,Unknown,1,False,True,False,0.0471376607072171
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,0,False,False,True,0.101497240446181
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,Unknown,1,True,False,False,0.0282127194780231
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,Unknown,0,False,False,True,0.0157125535690723
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,Unknown,1,False,False,True,0.0191771228343026
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,Unknown,1,True,False,False,0.0282207221450582
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,Unknown,0,False,False,True,0.0154685698179998
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,Unknown,0,False,True,False,0.0151269925664982
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,Unknown,0,False,False,True,0.0409892701801888
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,0,True,False,False,0.483128426019832
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,Unknown,1,False,False,True,0.0610447345183526
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,Unknown,0,False,False,True,0.14346244563066
122,0,3,"Moore, Mr. Leonard Charles",male,28.0,0,0,A4. 54510,8.05,Unknown,0,False,False,True,0.0157125535690723
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,Unknown,0,True,False,False,0.0586942926540201
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,1,False,False,True,0.0253743101115454
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,0,False,False,True,0.150855153288159
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,Unknown,0,True,False,False,0.0219423370754585
127,0,3,"McMahon, Mr. Martin",male,28.0,0,0,370372,7.75,Unknown,0,False,True,False,0.0151269925664982
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,Unknown,0,False,False,True,0.0139396700402787
129,1,3,"Peter, Miss. Anna",female,28.0,1,1,2668,22.3583,F E69,1,True,False,False,0.0436404952128436
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,Unknown,0,False,False,True,0.0136142933098484
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,Unknown,0,True,False,False,0.0154115752137492
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,Unknown,0,False,False,True,0.0137606835604919
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,Unknown,1,False,False,True,0.028302115124416
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,Unknown,1,False,False,True,0.0507486202230909
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,Unknown,0,False,False,True,0.0253743101115454
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,Unknown,0,True,False,False,0.0293674457750992
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,1,False,False,True,0.0513015849965217
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,0,False,False,True,0.10364429745562
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,Unknown,0,False,False,True,0.0179898003080831
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,0,True,False,False,0.154588104679569
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,28.0,0,2,2678,15.2458,Unknown,1,True,False,False,0.0297578197768153
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,Unknown,1,False,False,True,0.0151269925664982
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,Unknown,1,False,False,True,0.0309371396359996
144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,Unknown,0,False,True,False,0.0131751225579178
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,Unknown,0,False,False,True,0.0224465050986748
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,Unknown,0,False,False,True,0.0717312228153304
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,Unknown,0,False,False,True,0.0152163882128912
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,Unknown,1,False,False,True,0.0670955315449519
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,0,False,False,True,0.0507486202230909
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,Unknown,0,False,False,True,0.0253743101115454
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,Unknown,0,False,False,True,0.0244471718574697
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,1,False,False,True,0.129994542571455
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,Unknown,0,False,False,True,0.0157125535690723
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,Unknown,0,False,False,True,0.028302115124416
155,0,3,"Olsen, Mr. Ole Martin",male,28.0,0,0,Fa 265302,7.3125,Unknown,0,False,False,True,0.0142730494377443
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,Unknown,0,True,False,False,0.119804219630659
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,Unknown,1,False,True,False,0.0150943963373549
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,Unknown,0,False,False,True,0.0157125535690723
159,0,3,"Smiljanic, Mr. Mile",male,28.0,0,0,315037,8.6625,Unknown,0,False,False,True,0.0169080739493278
160,0,3,"Sage, Master. Thomas Henry",male,28.0,8,2,CA. 2343,69.55,Unknown,0,False,False,True,0.135752559096768
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,Unknown,0,False,False,True,0.0314251071381447
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,Unknown,1,False,False,True,0.0307419526351416
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,Unknown,0,False,False,True,0.0151757893167127
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,Unknown,0,False,False,True,0.0169080739493278
165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,Unknown,0,False,False,True,0.0774648409655354
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,Unknown,0,False,False,True,0.0400621319261131
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,28.0,0,1,113505,55.0,E33,1,False,False,True,0.107352850471923
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,Unknown,1,False,False,True,0.0544571732393937
169,0,1,"Baumann, Mr. John D",male,28.0,0,0,PC 17318,25.925,Unknown,0,False,False,True,0.0506022299724474
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,Unknown,0,False,False,True,0.110272457630757
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,0,False,False,True,0.065387645287444
172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,Unknown,0,False,True,False,0.0568482139999047
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,Unknown,1,False,False,True,0.0217307543665283
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,Unknown,0,False,False,True,0.0154685698179998
175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,0,True,False,False,0.0599142114093828
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,Unknown,0,False,False,True,0.0153303774213923
177,0,3,"Lefebre, Master. Henry Forbes",male,28.0,3,1,4133,25.4667,Unknown,0,False,False,True,0.0497076879475149
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C49,1,True,False,False,0.0560430676213653
179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,Unknown,0,False,False,True,0.0253743101115454
180,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,Unknown,0,False,False,True,0.0
181,0,3,"Sage, Miss. Constance Gladys",female,28.0,8,2,CA. 2343,69.55,Unknown,1,False,False,True,0.135752559096768
182,0,2,"Pernot, Mr. Rene",male,28.0,0,0,SC/PARIS 2131,15.05,Unknown,0,True,False,False,0.0293756436291353
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,Unknown,0,False,False,True,0.0612643198943179
184,1,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,0,False,False,True,0.0761229303346364
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,Unknown,1,False,False,True,0.0429899369389837
186,0,1,"Rood, Mr. Hugh Roscoe",male,28.0,0,0,113767,50.0,A32,0,False,False,True,0.097593500429021
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,28.0,1,0,370365,15.5,Unknown,1,False,True,False,0.0302539851329965
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,Unknown,0,False,False,True,0.0518221487278101
189,0,3,"Bourke, Mr. John",male,40.0,1,1,364849,15.5,Unknown,0,False,True,False,0.0302539851329965
190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,7.8958,Unknown,0,False,False,True,0.0154115752137492
191,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,Unknown,1,False,False,True,0.0253743101115454
192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,Unknown,0,False,False,True,0.0253743101115454
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,Unknown,1,False,False,True,0.0153303774213923
194,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,0,False,False,True,0.0507486202230909
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,B4,1,True,False,False,0.0541073981338561
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B80,1,True,False,False,0.28598955515321
197,0,3,"Mernagh, Mr. Robert",male,28.0,0,0,368703,7.75,Unknown,0,False,True,False,0.0151269925664982
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,Unknown,0,False,False,True,0.0164039059261115
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,28.0,0,0,370370,7.75,Unknown,1,False,True,False,0.0151269925664982
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747,13.0,Unknown,1,False,False,True,0.0253743101115454
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,Unknown,0,False,False,True,0.0185427650815139
202,0,3,"Sage, Mr. Frederick",male,28.0,8,2,CA. 2343,69.55,Unknown,0,False,False,True,0.135752559096768
203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,Unknown,0,False,False,True,0.0126789572017366
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,Unknown,0,True,False,False,0.0141022608119935
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,Unknown,0,False,False,True,0.0157125535690723
206,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,1,False,False,True,0.0204214399647726
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,Unknown,0,False,False,True,0.0309371396359996
208,1,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,Unknown,0,True,False,False,0.0366707577862046
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,Unknown,1,False,True,False,0.0151269925664982
210,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A31,0,True,False,False,0.060507970265993
211,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,Unknown,0,False,False,True,0.0137606835604919
